Time,Temperature,Humidity,Heater on,Cooler on,Humidifier on,Alerts
1445,25.3,55.2,0,0,1,0
1450,24.9,48.3,0,1,1,1
1455,20.5,56.1,0,1,0,1
1500,29.8,57.3,1,0,0,0
1505,28.1,44.4,1,1,0,0
1510,28.7,53.2,0,0,1,0
1515,20.2,45.2,1,1,0,0
1520,29.6,42.1,0,0,1,1
1525,26.6,58.9,0,1,1,0
1530,25.8,45.0,1,1,0,0
1535,21.9,51.6,0,1,1,1
1540,25.3,42.9,0,1,0,0
1545,26.6,41.7,1,1,1,0
1550,20.3,57.3,0,0,1,0
1555,20.0,40.5,0,1,0,1
1600,26.6,58.6,1,0,1,0
1605,20.8,40.6,0,0,0,0
1610,29.8,56.9,1,0,0,1
1615,26.9,51.7,1,1,0,0
1620,29.1,50.5,1,0,1,1
1625,29.3,45.4,1,0,1,0
1630,27.8,57.9,0,1,0,1
1635,20.9,56.1,0,1,1,0
1640,26.3,51.0,1,1,1,0
1645,22.1,41.9,0,0,1,0
1650,26.7,58.8,1,1,1,1
1655,25.9,55.1,0,1,1,0
1700,25.6,41.8,1,1,0,0
1705,25.3,48.7,1,0,1,1
1710,27.5,41.4,0,0,0,0
1715,28.8,54.9,0,0,0,0
1720,28.2,49.4,1,0,0,1
1725,20.1,53.5,1,1,0,0
1730,21.8,57.2,0,0,1,0
1735,20.5,42.3,1,0,1,1
1740,26.6,50.6,0,1,1,1
1745,24.9,58.4,1,0,1,1
1750,27.4,41.3,0,0,1,0
1755,27.8,45.0,0,0,1,1
1800,22.3,46.5,0,0,0,1
1805,20.1,47.6,1,1,0,0
1810,20.6,59.1,0,0,0,0
1815,29.6,42.2,1,0,1,0
1820,21.8,51.5,1,0,0,0
1825,27.2,56.8,1,1,0,1
1830,25.2,52.1,1,0,1,1
1835,28.8,59.8,1,0,1,1
1840,21.2,44.5,1,0,1,1
1845,27.9,50.2,1,1,0,0
1850,24.8,54.2,1,0,1,1
1855,28.2,55.1,0,0,0,0
1900,25.7,58.6,0,0,0,0
1905,24.4,59.7,0,1,0,0
1910,22.0,50.5,1,1,1,0
1915,23.5,48.0,1,0,1,1
1920,24.7,41.1,0,0,0,1
1925,27.0,53.8,1,1,0,0
1930,29.4,53.5,1,1,0,0
1935,26.0,58.7,1,1,1,0
1940,28.8,49.2,0,0,0,1
1945,20.8,40.9,0,1,0,1
1950,22.2,55.0,0,0,1,1
1955,22.7,57.6,1,1,0,1
2000,23.4,58.7,1,0,1,0
2005,26.0,49.1,0,0,1,0
2010,26.4,42.5,1,1,0,1
2015,22.5,42.0,0,1,1,1
2020,26.2,40.2,1,1,0,1
2025,26.6,55.2,1,0,1,1
2030,23.2,55.1,0,0,0,0
2035,29.3,47.2,0,0,0,0
2040,28.2,42.6,0,1,1,0
2045,29.5,51.0,0,1,0,0
2050,29.8,50.0,0,1,1,1
2055,22.5,42.4,0,1,1,0
2100,27.6,43.6,0,1,0,0
2105,27.4,48.8,1,0,1,1
2110,20.3,47.7,0,0,1,1
2115,24.2,49.6,0,1,0,0
2120,26.0,50.9,1,1,0,1
2125,29.1,41.1,1,0,0,1
2130,23.8,58.7,0,1,0,1
2135,24.9,45.5,0,0,0,0
2140,29.2,49.3,1,0,0,0
2145,22.4,55.0,1,0,0,0
2150,26.0,52.5,0,1,0,0
2155,20.1,44.1,1,0,0,1
2200,22.2,42.8,0,1,0,0
2205,21.8,48.9,1,0,1,1
2210,20.1,57.4,1,1,0,0
2215,24.9,49.6,0,0,1,1
2220,20.3,42.8,0,0,0,1
2225,25.6,48.2,1,1,1,1
2230,30.0,54.6,0,0,0,0
2235,28.2,42.6,0,0,0,1
2240,22.5,55.9,1,1,0,1
2245,22.1,59.9,1,0,1,1
2250,29.7,42.0,0,0,0,0
2255,26.5,40.8,1,0,0,0
2300,25.3,59.2,0,1,1,1
2305,29.4,42.5,0,1,0,1
2310,24.3,54.9,0,0,0,0
2315,23.2,53.8,1,0,0,0
2320,20.8,59.7,1,1,0,0
2325,26.1,54.2,0,1,0,1
2330,23.1,46.6,1,1,1,1
2335,21.6,49.7,1,0,0,0
2340,23.6,41.8,1,0,1,1
2345,25.9,51.8,1,1,0,0
2350,21.8,57.1,0,0,0,1
2355,26.2,59.7,1,1,0,1
